index	name	u	p	V	G	H	L
	root	1.0	2.933	37.283	2. mathematics of computing; 4. human-centered computing; 1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.1. data exchange; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent; 3.2. information systems applications; 3.3. world wide web; 3.5. internet of things; 3.1.2. data structures; 3.1.3. database management system engines; 3.1.4. query languages; 3.1.5. information integration; 3.1.1.1. relational database model; 3.1.1.2. entity relationship models; 3.1.1.3. graph-based database models; 3.1.1.4. physical data models; 3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data; 3.4.1. document representation; 3.4.2. information retrieval query processing; 3.4.3. users and interactive retrieval; 3.4.4. retrieval models and ranking; 3.4.6. evaluation of retrieval results; 3.4.7. specialized information retrieval; 3.4.5.1. question answering; 3.4.5.2. document filtering; 3.4.5.3. recommender systems; 3.4.5.5. sentiment analysis; 3.4.5.6. expert search; 3.4.5.7. near-duplicate and plagiarism detection; 3.4.5.8. clustering and classification; 3.4.5.9. summarization; 3.4.5.10. business intelligence; 5.1.2. knowledge engineering; 5.1.3. computer vision; 5.1.1.3. machine translation; 5.1.1.4. discourse dialogue and pragmatics; 5.1.1.5. natural language generation; 5.1.1.6. speech recognition; 5.1.1.7. lexical semantics; 5.1.1.8. phonology; 5.1.1.9. language resources; 5.2.2. learning settings; 5.2.5. cross-validation; 5.2.6. deep learning; 5.2.1.1. supervised learning; 5.2.1.2. unsupervised learning; 5.2.1.4. multi-task learning; 5.2.3.1. classification and regression trees; 5.2.3.3. neural networks; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.7. factorization methods; 5.2.3.8. rule learning; 5.2.3.9. instance-based learning; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14. multiresolution; 5.2.3.2.1. kernel support vector machines; 5.2.3.2.3. kernel matrix; 5.2.3.2.4. kernel independent components; 5.2.3.2.5. kernel-based clustering; 5.2.4.1. dynamic programming for markov decision processes; 5.2.4.3. spectral methods; 5.2.4.4. feature selection; 5.2.4.5. regularization; 5.2.4.2.2. bagging; 5.2.4.2.3. fusion of classifiers	1.1.1.4.2. gaussian processes; 1.1.1.5. boosting; 1.1.1.13.1. sequential decision making; 1.1.1.16. markov decision processes; 1.1.2.2. data provenance; 3.1.1.5.3. data provenance; 3.4.5.4. information extraction; 5.1.1.2. information extraction; 5.2.1.3.1. sequential decision making; 5.2.3.2.2. gaussian processes; 5.2.3.10. markov decision processes; 5.2.4.2.1. boosting	
1	theory of computation	0.584	1.107	11.419	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.1. data exchange; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent	1.1.1.4.2. gaussian processes; 1.1.1.5. boosting; 1.1.1.13.1. sequential decision making; 1.1.1.16. markov decision processes; 1.1.2.2. data provenance	
1.1.1	machine learning theory	0.427	0.749	7.04	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning	1.1.1.4.2. gaussian processes; 1.1.1.5. boosting; 1.1.1.13.1. sequential decision making; 1.1.1.16. markov decision processes	
1.1.1.1	sample complexity and generalization bounds	0.0	0	0			
1.1.1.10	models of learning	0.0	0	0			
1.1.1.11	query learning	0.0	0	0			
1.1.1.12	structured prediction	0.0	0	0			
1.1.1.13	reinforcement learning	0.288	0.259	1.152	1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning	1.1.1.13.1. sequential decision making	
1.1.1.13.1	sequential decision making	0.288	0.259	0		1.1.1.13.1. sequential decision making	
1.1.1.13.2	inverse reinforcement learning	0.0	0	0			
