index	name	u	p	V	G	H	L
	root	1.0	2.736	37.993	1. theory of computation; 2.2. multiway data analysis; 2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.7. stochastic differential equations; 2.1.1.8. nonparametric representations; 3.3. world wide web; 3.5. internet of things; 3.1.1. database design and models; 3.1.2. data structures; 3.1.5. information integration; 3.1.3.1. dbms engine architectures; 3.1.3.3. database transaction processing; 3.1.3.4. record and buffer management; 3.1.3.5. parallel and distributed dbmss; 3.1.3.6. triggers and rules; 3.1.3.7. database views; 3.1.3.8. integrity checking; 3.1.3.9. distributed database transactions; 3.1.3.10. main memory engines; 3.1.3.11. online analytical processing engines; 3.1.3.12. stream management; 3.1.3.13. big data; 3.1.3.2.2. query operators; 3.1.3.2.3. query planning; 3.1.3.2.4. join algorithms; 3.1.4.1. relational database query languages; 3.1.4.3. query languages for non-relational engines; 3.1.4.4. call level interfaces; 3.1.4.2.1 xpath; 3.2.1.1. data cleaning; 3.2.1.2. collaborative filtering; 3.2.1.3. association rules; 3.2.1.4. clustering; 3.2.1.5. nearest-neighbor search; 3.2.1.6. data stream mining; 3.2.1.7. graph mining; 3.2.1.11. text mining; 3.2.1.10. data mining tools; 3.2.1.9. sequence mining; 3.2.1.12. formal concept analysis; 3.4.1. document representation; 3.4.2. information retrieval query processing; 3.4.3. users and interactive retrieval; 3.4.5. retrieval tasks and goals; 3.4.6. evaluation of retrieval results; 3.4.7. specialized information retrieval; 3.4.4.1. rank aggregation; 3.4.4.3. language models; 3.4.4.4. similarity measures; 3.4.4.5. learning to rank; 3.4.4.6. combination fusion and federated search; 3.4.4.7. information retrieval diversity; 3.4.4.8. top-k retrieval in databases; 3.4.4.9. novelty in information retrieval; 4.1.2. visualization techniques; 4.1.3. visualization application domains; 4.1.4. visualization systems and tools; 4.1.5. visualization theory concepts and paradigms; 4.1.6. empirical studies in visualization; 5.1.2. knowledge engineering; 5.1.1.2. information extraction; 5.1.1.3. machine translation; 5.1.1.4. discourse dialogue and pragmatics; 5.1.1.5. natural language generation; 5.1.1.6. speech recognition; 5.1.1.7. lexical semantics; 5.1.1.8. phonology; 5.1.3.2. computer vision representations; 5.1.3.1.1. interest point and salient region detections; 5.1.3.1.2. image segmentation; 5.1.3.1.3. video segmentation; 5.1.3.1.5. object detection; 5.1.3.1.6. object recognition; 5.1.3.1.7. object identification; 5.1.3.1.8. tracking; 5.1.3.1.9. reconstruction; 5.1.3.1.10. matching; 5.2.1. learning paradigms; 5.2.2. learning settings; 5.2.4. machine learning algorithms; 5.2.5. cross-validation; 5.2.3.1. classification and regression trees; 5.2.3.3. neural networks; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.7. factorization methods; 5.2.3.8. rule learning; 5.2.3.9. instance-based learning; 5.2.3.10. markov decision processes; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14. multiresolution; 5.2.3.15. support vector machines; 5.2.3.2.1. kernel support vector machines; 5.2.3.2.2. gaussian processes; 5.2.3.2.3. kernel matrix; 5.2.3.2.4. kernel independent components; 5.2.6.1 auto-encoder; 5.2.6.3. deep reinforcement learning drl; 5.2.6.4. recurrent neural networks rnn; 5.2.6.5. transformer nn; 5.2.6.6. generative adversarial networks gan; 5.2.6.2.1. pooling	2.1.1.4. decision diagrams; 3.1.3.2.1. query optimization; 3.1.4.2.2. xquery; 3.2.1.8. process mining; 3.4.4.2. probabilistic retrieval models; 4.1.7. visualization design and evaluation methods; 5.1.1.9. language resources; 5.1.3.1.4. shape inference; 5.2.3.2.5. kernel-based clustering; 5.2.6.2.2. dropout	
1	theory of computation	0.0	0	1.0	1. theory of computation		
2	mathematics of computing	0.491	0.442	7.853	2.2. multiway data analysis; 2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.7. stochastic differential equations; 2.1.1.8. nonparametric representations	2.1.1.4. decision diagrams	
2.1	probability and statistics	0.491	0.442	7.362	2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.7. stochastic differential equations; 2.1.1.8. nonparametric representations	2.1.1.4. decision diagrams	
2.1.1	probabilistic representations	0.491	0.442	3.436	2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.7. stochastic differential equations; 2.1.1.8. nonparametric representations	2.1.1.4. decision diagrams	
2.1.1.1	bayesian networks	0.0	0	0			
2.1.1.2	markov networks	0.0	0	0			
2.1.1.3	factor graphs	0.0	0	0			
2.1.1.4	decision diagrams	0.491	0.442	0		2.1.1.4. decision diagrams	
2.1.1.5	equational models	0.0	0	0			
