index	name	u	p	V	G	H	L
	root	1.0	2.307	32.077	1. theory of computation; 3. information systems; 4. human-centered computing; 2.2. multiway data analysis; 2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.4. decision diagrams; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.8. nonparametric representations; 5.1.1. natural language processing; 5.1.3. computer vision; 5.1.2.2. knowledge management; 5.1.2.1.1. description logics; 5.1.2.1.2. semantic networks; 5.1.2.1.3.  default reasoning and belief revision; 5.1.2.1.4. probabilistic reasoning; 5.1.2.1.5. vagueness and fuzzy logic; 5.1.2.1.6. causal reasoning and diagnostics; 5.1.2.1.7. temporal reasoning; 5.1.2.1.8. logic programming and answer set programming; 5.1.2.1.9. spatial and physical reasoning; 5.1.2.1.10. reasoning about belief and knowledge; 5.2.1. learning paradigms; 5.2.2. learning settings; 5.2.5. cross-validation; 5.2.3.1. classification and regression trees; 5.2.3.3. neural networks; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.7. factorization methods; 5.2.3.8. rule learning; 5.2.3.10. markov decision processes; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14. multiresolution; 5.2.3.15. support vector machines; 5.2.3.2.1. kernel support vector machines; 5.2.3.2.2. gaussian processes; 5.2.3.2.3. kernel matrix; 5.2.3.2.5. kernel-based clustering; 5.2.4.3. spectral methods; 5.2.4.4. feature selection; 5.2.4.5. regularization; 5.2.4.1.1. value iteration; 5.2.4.1.2. q-learning; 5.2.4.1.3. policy iteration; 5.2.4.1.4. temporal difference learning; 5.2.4.2.1. boosting; 5.2.4.2.3. fusion of classifiers; 5.2.6.1 auto-encoder; 5.2.6.3. deep reinforcement learning drl; 5.2.6.4. recurrent neural networks rnn; 5.2.6.5. transformer nn; 5.2.6.6. generative adversarial networks gan; 5.2.6.2.1. pooling	2.1.1.7. stochastic differential equations; 5.1.2.1.11. answering queries; 5.2.3.2.4. kernel independent components; 5.2.3.9. instance-based learning; 5.2.4.1.5. approximate dynamic programming methods; 5.2.4.2.2. bagging; 5.2.6.2.2. dropout	
1	theory of computation	0.0	0	1.0	1. theory of computation		
2	mathematics of computing	0.47	0.423	7.515	2.2. multiway data analysis; 2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.4. decision diagrams; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.8. nonparametric representations	2.1.1.7. stochastic differential equations	
2.1	probability and statistics	0.47	0.423	7.045	2.1.2. probabilistic inference problems; 2.1.3. probabilistic reasoning algorithms; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.4. decision diagrams; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.8. nonparametric representations	2.1.1.7. stochastic differential equations	
2.1.1	probabilistic representations	0.47	0.423	3.288	2.1.1.1. bayesian networks; 2.1.1.2. markov networks; 2.1.1.3. factor graphs; 2.1.1.4. decision diagrams; 2.1.1.5. equational models; 2.1.1.6. causal networks; 2.1.1.8. nonparametric representations	2.1.1.7. stochastic differential equations	
2.1.1.1	bayesian networks	0.0	0	0			
2.1.1.2	markov networks	0.0	0	0			
2.1.1.3	factor graphs	0.0	0	0			
2.1.1.4	decision diagrams	0.0	0	0			
2.1.1.5	equational models	0.0	0	0			
