index	name	u	p	V	G	H	L
	root	1.0	2.699	32.234	2. mathematics of computing; 4. human-centered computing; 1.1.2. database theory; 1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds; 3.2. information systems applications; 3.3. world wide web; 3.4. information retrieval; 3.5. internet of things; 3.1.1. database design and models; 3.1.2. data structures; 3.1.5. information integration; 3.1.3.1. dbms engine architectures; 3.1.3.2. database query processing; 3.1.3.3. database transaction processing; 3.1.3.4. record and buffer management; 3.1.3.5. parallel and distributed dbmss; 3.1.3.6. triggers and rules; 3.1.3.7. database views; 3.1.3.8. integrity checking; 3.1.3.9. distributed database transactions; 3.1.3.11. online analytical processing engines; 3.1.3.12. stream management; 3.1.3.13. big data; 3.1.4.1. relational database query languages; 3.1.4.3. query languages for non-relational engines; 3.1.4.4. call level interfaces; 3.1.4.2.1 xpath; 5.1. artificial intelligence; 5.2.1. learning paradigms; 5.2.2. learning settings; 5.2.5. cross-validation; 5.2.3.1. classification and regression trees; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.7. factorization methods; 5.2.3.8. rule learning; 5.2.3.9. instance-based learning; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14. multiresolution; 5.2.3.15. support vector machines; 5.2.3.3.1. self organized map; 5.2.3.3.2. training approaches; 5.2.3.3.4. evolving nn; 5.2.3.3.5. ensembling; 5.2.3.3.3.2. fuzzy representation; 5.2.4.2. ensemble methods; 5.2.4.3. spectral methods; 5.2.4.5. regularization; 5.2.4.1.1. value iteration; 5.2.4.1.2. q-learning; 5.2.4.1.3. policy iteration; 5.2.4.1.4. temporal difference learning; 5.2.6.1 auto-encoder; 5.2.6.4. recurrent neural networks rnn; 5.2.6.6. generative adversarial networks gan; 5.2.6.2.1. pooling	1.1.1.14. active learning; 1.1.1.16. markov decision processes; 3.1.3.10. main memory engines; 3.1.4.2.2. xquery; 5.2.3.3.3.1. rule-based netwok archirtecture; 5.2.3.10. markov decision processes; 5.2.4.1.5. approximate dynamic programming methods; 5.2.4.4. feature selection; 5.2.6.2.2. dropout; 5.2.6.3. deep reinforcement learning drl; 5.2.6.5. transformer nn	
1	theory of computation	0.317	0.403	5.072	1.1.2. database theory; 1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds	1.1.1.14. active learning; 1.1.1.16. markov decision processes	
1.1.1	machine learning theory	0.317	0.403	4.755	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.15. semi-supervised learning; 1.1.1.17. regret bounds	1.1.1.14. active learning; 1.1.1.16. markov decision processes	
1.1.1.1	sample complexity and generalization bounds	0.0	0	0			
1.1.1.10	models of learning	0.0	0	0			
1.1.1.11	query learning	0.0	0	0			
1.1.1.12	structured prediction	0.0	0	0			
1.1.1.13	reinforcement learning	0.0	0	0.317	1.1.1.13. reinforcement learning		
1.1.1.14	active learning	0.212	0.191	0		1.1.1.14. active learning	
1.1.1.15	semi-supervised learning	0.0	0	0			
1.1.1.16	markov decision processes	0.236	0.212	0		1.1.1.16. markov decision processes	
1.1.1.17	regret bounds	0.0	0	0			
1.1.1.2	boolean function learning	0.0	0	0			
1.1.1.3	unsupervised learning and clustering	0.0	0	0			
1.1.1.4	kernel methods	0.0	0	0.317	1.1.1.4. kernel methods		
1.1.1.5	boosting	0.0	0	0			
1.1.1.6	bayesian analysis	0.0	0	0			
1.1.1.7	inductive inference	0.0	0	0			
1.1.1.8	online learning theory	0.0	0	0			
1.1.1.9	multi-agent learning	0.0	0	0			
1.1.2	database theory	0.0	0	0.317	1.1.2. database theory		
2	mathematics of computing	0.0	0	1.0	2. mathematics of computing		
