index	name	u	p	V	G	H	L
	root	1.0	1.852	21.426	3. information systems; 4. human-centered computing; 1.1.2. database theory; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 2.2. multiway data analysis; 2.1.1. probabilistic representations; 2.1.2. probabilistic inference problems; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.3.1. variable elimination; 2.1.3.2. loopy belief propagation; 2.1.3.4. expectation maximization; 2.1.3.5. markov-chain monte carlo methods; 2.1.3.6. sequential monte carlo methods; 2.1.3.7. kalman filters and hidden markov models; 2.1.3.8. resampling methods; 2.1.3.9. random number generation; 5.1. artificial intelligence; 5.2.1. learning paradigms; 5.2.2. learning settings; 5.2.3. machine learning approaches; 5.2.5. cross-validation; 5.2.6. deep learning; 5.2.4.3. spectral methods; 5.2.4.4. feature selection; 5.2.4.1.1. value iteration; 5.2.4.1.2. q-learning; 5.2.4.1.4. temporal difference learning; 5.2.4.1.5. approximate dynamic programming methods; 5.2.4.2.2. bagging	1.1.1.1. sample complexity and generalization bounds; 2.1.3.3. variational methods; 5.2.4.1.3. policy iteration; 5.2.4.2.3. fusion of classifiers; 5.2.4.5. regularization	
1	theory of computation	0.271	0.244	4.608	1.1.2. database theory; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds	1.1.1.1. sample complexity and generalization bounds	
1.1.1	machine learning theory	0.271	0.244	4.337	1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.4. kernel methods; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.13. reinforcement learning; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds	1.1.1.1. sample complexity and generalization bounds	
1.1.1.1	sample complexity and generalization bounds	0.271	0.244	0		1.1.1.1. sample complexity and generalization bounds	
1.1.1.10	models of learning	0.0	0	0			
1.1.1.11	query learning	0.0	0	0			
1.1.1.12	structured prediction	0.0	0	0			
1.1.1.13	reinforcement learning	0.0	0	0.271	1.1.1.13. reinforcement learning		
1.1.1.14	active learning	0.0	0	0			
1.1.1.15	semi-supervised learning	0.0	0	0			
1.1.1.16	markov decision processes	0.0	0	0			
1.1.1.17	regret bounds	0.0	0	0			
1.1.1.2	boolean function learning	0.0	0	0			
1.1.1.3	unsupervised learning and clustering	0.0	0	0			
1.1.1.4	kernel methods	0.0	0	0.271	1.1.1.4. kernel methods		
1.1.1.5	boosting	0.0	0	0			
1.1.1.6	bayesian analysis	0.0	0	0			
1.1.1.7	inductive inference	0.0	0	0			
1.1.1.8	online learning theory	0.0	0	0			
1.1.1.9	multi-agent learning	0.0	0	0			
1.1.2	database theory	0.0	0	0.271	1.1.2. database theory		
2	mathematics of computing	0.251	0.225	4.259	2.2. multiway data analysis; 2.1.1. probabilistic representations; 2.1.2. probabilistic inference problems; 2.1.4. probabilistic algorithms; 2.1.5. statistical paradigms; 2.1.6. stochastic processes; 2.1.7. nonparametric statistics; 2.1.8. distribution functions; 2.1.9. multivariate statistics; 2.1.3.1. variable elimination; 2.1.3.2. loopy belief propagation; 2.1.3.4. expectation maximization; 2.1.3.5. markov-chain monte carlo methods; 2.1.3.6. sequential monte carlo methods; 2.1.3.7. kalman filters and hidden markov models; 2.1.3.8. resampling methods; 2.1.3.9. random number generation	2.1.3.3. variational methods	
